hid,name,year_qtr,start_date,end_date,hstatus,county_name,service_area,planning_area,type_cntrl,type_hosp,phone,address,city,zip_code,ceo,lic_beds,avl_beds,stf_beds,dis_medicare_tradicional,dis_medicare_care,dis_medi_tradicional,dis_medi_care,day_medicare_tradicional,day_medicare_care,day_medi_tradicional,day_medi_care,vis_medicare_tradicional,vis_medicare_care,vis_medi_tradicional,vis_medi_care,grip_medicare_tradicional,grip_medicare_care,grip_medi_tradicional,grip_medi_care,grop_medicare_tradicional,grop_medicare_care,grop_medi_tradicional,grop_medi_care,operational_expenses,professional_expenses
106190524,MISSION COMMUNITY HOSPITAL - PANORAMA,20193,7/1/19,9/30/19,Open,Los Angeles,11 - Los Angeles,905,Non Profit Corp.,Comparable,818-787-2222,14850 ROSCOE BOULEVARD,PANORAMA CITY,91402,JAMES THEIRING,145,145,135,725,141,355,384,3148,565,2614,2897,1130,197,582,645,44916543,6017933,15077259,22763082,10268612,1801173,4968251,5623695,28364851,0
106104089,EXODUS PSYCHIATRIC HEALTH FACILITY FRESNO,20193,7/1/19,9/30/19,Open,Fresno,09 - Central,605,Investor - Corp.,Psychiatric Health Facilities,559-600-7180,4411 E. KINGS CANYON ROAD,FRESNO,93702,LUANA MURPHY,16,16,16,0,0,37,0,0,0,506,0,0,0,0,0,0,0,357605,0,0,0,0,0,965395,0
106190053,ST. MARY MEDICAL CENTER - LONG BEACH,20171,1/1/17,3/31/17,Open,Los Angeles,11,933,Non Profit Corp.,Comparable,(562) 491-9000,1050 LINDEN AVENUE,LONG BEACH,90813,JOEL YUHAS,302,302,174,434,379,530,1049,3583,1870,2811,4570,4697,3186,5314,12802,41266411,23570700,25919516,53808727,11069852,7508624,12524776,30172764,74483479,0
106014233,EDEN MEDICAL CENTER,20171,1/1/17,3/31/17,Open,Alameda,5,421,Non Profit Corp.,Comparable,(415) 600-6000,20103 LAKE CHABOT ROAD,CASTRO VALLEY,94546,TERRY GLUBKA,130,130,119,878,226,169,349,3944,973,1126,1560,11598,1479,1153,5950,79508343,22505749,20829823,29735443,32933790,9560580,5082145,24491099,81805339,0
106344170,CRESTWOOD PSYCHIATRIC HEALTH FACILITY - CARMICHAEL,20193,7/1/19,9/30/19,Open,Sacramento,02 - Golden Empire,311,Investor - Corp.,Psychiatric Health Facilities,209-478-5291,4741 ENGLE ROAD,CARMICHAEL,95608,LORI BLACKBURN,16,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1023960,171175
106410891,SEQUOIA HOSPITAL,20194,10/1/19,12/31/19,OPEN,San Mateo,04 - West Bay,428,Non Profit Corp.,Comparable,650-369-5811,170 ALAMEDA DE LAS PULGAS,REDWOOD CITY,94062,BILL GRAHAM,208,114,62,557,144,14,28,2297,694,74,141,5213,703,198,1037,97748458,24452448,2759286,4476687,56262630,7581412,1254987,6555926,67952692,0
106364050,CANYON RIDGE HOSPITAL,20164,10/1/16,12/31/16,Open,San Bernardino,12,1207,Investor - Corp.,Comparable,(909) 590-3700,5353 G STREET,CHINO,91710,JEFFREY MCDONALD,106,106,98,154,113,0,226,1432,625,0,1065,1621,767,0,0,2148000,937500,0,1597500,1017350,269200,0,0,4716055,164342
106015000,KAISER FOUNDATION NORTHERN REGION,20183,7/1/18,9/30/18,Open,,,417,Non Profit Corp.,Kaiser Foundation Health,510-987-3380,1956 WEBSTER STREET,OAKLAND,94612,JANET LIANG,4279,4079,2084,2227,18730,612,3105,9645,73658,2472,9098,10619,229991,11582,74825,168964730,1444102712,71474159,183893947,68919122,1251586420,48653602,305605498,2375190591,0
106444012,SUTTER MATERNITY AND SURGERY CENTER OF SANTA CRUZ,20184,10/1/18,12/31/18,Open,Santa Cruz,08 - Mid-Coast,703,Non Profit Corp.,Comparable,831-477-2200,2900 CHANTICLEER AVENUE,SANTA CRUZ,95065,LAWRENCE DEGHETALDI,30,30,12,43,2,10,59,89,7,29,161,520,54,9,134,3637284,185228,226408,1634165,12735478,1379553,105079,2810499,18964784,0
106040937,OROVILLE HOSPITAL,20171,1/1/17,3/31/17,Open,Butte,1,221,Non Profit Corp.,Comparable,(530) 532-8500,2767 OLIVE HIGHWAY,OROVILLE,95966,ROBERT WENTZ,133,133,133,1518,34,187,970,5846,122,502,3178,54074,1247,4027,46672,56611444,1363516,6306718,31060966,38875681,1421475,2714856,32121861,59138457,9683529
106301209,HUNTINGTON BEACH HOSPITAL,20164,10/1/16,12/31/16,Open,Orange,13,1014,Investor - Corp.,Comparable,(714) 843-5000,17772 BEACH BOULEVARD,HUNTINGTON BEACH,92647,RICHARD ROWE,131,131,131,296,88,54,222,2828,315,0,763,2604,172,376,1781,18512410,3371598,1487938,9155520,2764768,636082,1007140,4350878,12663738,0
106190352,GREATER EL MONTE COMMUNITY HOSPITAL,20164,10/1/16,12/31/16,Open,Los Angeles,11,913,Investor - Corp.,Comparable,(626) 579-7777,1701 SANTA ANITA AVENUE,SOUTH EL MONTE,91733,STANLEY TOY,117,117,117,144,68,225,341,896,420,1318,1686,193,135,1068,2644,11366137,4632102,13385156,17554380,2664708,1688150,5179650,11200240,17280537,0
106270875,SALINAS VALLEY MEMORIAL HOSPITAL,20174,10/1/17,12/31/17,Open,Monterey,8,705,District,Comparable,831-757-4333,450 EAST ROMIE LANE,SALINAS,93901,PETE DELGADO,263,233,141,1094,59,41,112,5543,260,262,713,5831,323,1246,9032,120030840,6664946,15693641,40636069,55896271,3247586,7028695,52118933,99512705,0
106331288,PALO VERDE HOSPITAL,20174,10/1/17,12/31/17,Open,Riverside,12,1101,District,Comparable,760-921-4115,250 NORTH FIRST STREET,BLYTHE,92225,SANDRA ANAYA,51,45,42,51,7,103,1,169,29,233,8,1370,72,1955,109,1323970,152535,1835179,66514,2733741,231461,4403134,400083,5309442,0
106210992,KAISER FOUNDATION HOSPITAL - SAN RAFAEL,20164,10/1/16,12/31/16,Open,Marin,4,405,Non Profit Corp.,Kaiser Foundation Health,(510) 987-3380,99 MONTECILLO ROAD,SAN RAFAEL,94903,GREGORY ADAMS,116,116,43,33,720,16,2,80,2363,71,23,194,11056,61,1641,0,0,0,0,0,0,0,0,73426585,0
106190661,SILVER LAKE MEDICAL CENTER,20174,10/1/17,12/31/17,Open,Los Angeles,11,925,Investor - Corp.,Comparable,213-989-6100,1711 WEST TEMPLE STREET,LOS ANGELES,90026,MICHAEL PHILLIPS,234,211,211,805,63,648,72,7498,797,4927,564,515,177,61,566,29802465,3100826,16630453,2636672,1913352,344425,104628,1055968,16264412,0
106190462,AURORA LAS ENCINAS HOSPITAL,20192,4/1/19,6/30/19,Open,Los Angeles,11 - Los Angeles,911,Investor - Corp.,Comparable,626-795-9901,2900 EAST DEL MAR BOULEVARD,PASADENA,91107,TODD SMITH,118,118,71,167,66,19,2,1366,497,103,3,292,22,0,0,2053150,748450,155025,4525,142400,10080,0,0,6906171,299228
106450940,SHASTA REGIONAL MEDICAL CENTER,20164,10/1/16,12/31/16,Open,Shasta,1,209,Investor - Corp.,Comparable,(530) 244-5400,1100 BUTTE STREET,REDDING,96001,CYNDY GORDON,178,178,100,1115,41,48,371,5701,228,179,1763,4803,187,572,5448,94374723,3505399,2985618,27699502,39395306,1684901,2384600,24463063,36461704,0
106154022,HEALTHSOUTH BAKERSFIELD REHABILITATION HOSPITAL,20184,10/1/18,12/31/18,Open,Kern,09 - Central,617,Investor - Corp.,Comparable,661-323-5500,5001 COMMERCE DRIVE,BAKERSFIELD,93309,MARTHA SAMORA,86,86,65,297,19,28,37,3773,305,333,417,0,0,0,0,9707775,800315,785716,996560,0,0,0,0,7505102,0
106301140,CHAPMAN GLOBAL MEDICAL CENTER,20173,7/1/17,9/30/17,Open,Orange,13,1015,Investor - Corp.,Comparable,(714) 633-0011,2601 EAST CHAPMAN AVENUE,ORANGE,92869,SUZANNE RICHARDS,114,100,100,127,69,26,51,867,553,108,2530,427,212,202,734,6954920,4102926,804019,13075077,1588231,1089427,849820,2468905,10562148,162275
106500939,MEMORIAL HOSPITAL MODESTO,20174,10/1/17,12/31/17,Open,Stanislaus,6,511,Non Profit Corp.,Comparable,209-526-4500,1700 COFFEE ROAD,MODESTO,95355,DARYN KUMAR,423,423,240,1453,647,208,840,7225,3040,1156,3233,4507,2032,893,8174,132013455,56234326,17924411,59111713,71004458,33587190,5062707,40255073,175370119,0
106331293,PARKVIEW COMMUNITY HOSPITAL,20184,10/1/18,12/31/18,Open,Riverside,12 - Inland Counties,1111,Non Profit Corp.,Comparable,951-688-2211,3865 JACKSON STREET,RIVERSIDE,92503,STEVE POPKIN,193,193,105,294,287,246,578,1844,1046,935,2026,883,922,1549,5407,20484175,20312621,10770534,35811133,4786431,10060365,3501739,23987152,41401020,0
106444029,TELECARE SANTA CRUZ - PHF,20202,4/1/20,6/30/20,OPEN,Santa Cruz,08 - Mid-Coast,703,Investor - Corp.,Psychiatric Health Facilities,831-600-2801,2250 SOQUEL AVE,SANTA CRUZ,95062,ANNE BAKAR,16,16,16,14,0,43,0,394,0,972,0,0,0,0,0,1149487,0,2835791,0,0,0,0,0,1827082,0
106414139,KAISER FOUNDATION HOSPITAL - REDWOOD CITY,20174,10/1/17,12/31/17,Open,San Mateo,4,428,Non Profit Corp.,Kaiser Foundation Health,510-987-3380,1100 VETERANS BOULEVARD,REDWOOD CITY,94063,JANET LIANG,149,149,75,75,757,10,93,257,2607,50,252,131,3833,87,1088,0,0,0,0,0,0,0,0,86333112,0
106190587,COLLEGE MEDICAL CENTER,20173,7/1/17,9/30/17,Open,Los Angeles,11,933,Investor - Corp.,Comparable,(562) 997-2500,2776 PACIFIC AVENUE,LONG BEACH,90806,JOE AVELINO,221,221,221,278,117,1603,221,1641,472,11963,768,632,320,301,1571,11680430,3442879,27087331,6377895,3078246,487568,718519,4055166,21686116,0
106190529,METHODIST HOSPITAL OF SOUTHERN CALIFORNIA,20202,4/1/20,6/30/20,OPEN,Los Angeles,11 - Los Angeles,913,Non Profit Corp.,Comparable,626-898-8000,300 WEST HUNTINGTON DRIVE,ARCADIA,91007,DAN AUSMAN,348,224,224,1064,566,130,280,8304,2801,967,1442,1873,1920,658,2608,129129820,58652604,16246841,27819898,14717306,15526799,3349114,11636686,76560167,0
106190017,ALHAMBRA HOSPITAL MEDICAL CENTER,20202,4/1/20,6/30/20,OPEN,Los Angeles,11 - Los Angeles,913,Investor - Ptnr.,Comparable,626-570-1606,100 SOUTH RAYMOND AVENUE,ALHAMBRA,91801,IRIS LAI,144,144,144,255,184,26,233,2013,1207,448,2777,501,402,274,1181,28036203,21296919,4500879,23965387,2654444,2730295,1360220,6100970,47784083,0
106380929,CALIFORNIA PACIFIC MEDICAL CENTER,20172,4/1/17,6/30/17,Open,San Francisco,4,423,Non Profit Corp.,Comparable,(415) 600-6000,2333 BUCHANAN STREET,SAN FRANCISCO,94115,"WARREN BROWNER, MD",643,643,439,1821,633,256,749,11655,3951,2561,4365,28124,10116,1297,10470,192434694,59632047,32529146,70578042,79021074,26105510,3218509,32636836,258440659,0
106010739,ALTA BATES SUMMIT MEDICAL CENTER - ALTA BATES CAMPUS,20174,10/1/17,12/31/17,Open,Alameda,5,415,Non Profit Corp.,Comparable,510-204-4444,2450 ASHBY AVENUE,BERKELEY,94705,CHARLES PROSPER,402,402,241,819,221,601,886,4317,1041,2552,2913,7599,1908,785,4659,63490666,16027829,30587318,47512590,65254269,18517938,6287452,34692343,214145635,0
106301279,UNIVERSITY OF CALIFORNIA IRVINE MEDICAL CENTER,20192,4/1/19,6/30/19,Open,Orange,13 - Orange,1015,Non Profit Other,Comparable,714-456-7890,101 CITY DRIVE SOUTH,ORANGE,92868,RICHARD J. GANNOTTA,402,402,402,1216,673,773,1402,6410,3592,7042,7087,48801,14001,6140,33646,144913845,86132168,107065058,154382845,137967493,43288014,17108598,92001298,310616611,0
106014233,EDEN MEDICAL CENTER,20181,1/1/18,3/31/18,Open,Alameda,5,421,Non Profit Corp.,Comparable,415-600-6000,20103 LAKE CHABOT ROAD,CASTRO VALLEY,94546,TERRY GLUBKA,130,130,118,912,261,202,355,4153,1228,962,1288,2368,663,1422,7446,83550774,27284674,19797686,25781618,29673575,9644288,5044160,25018300,83778511,0
106015000,KAISER FOUNDATION NORTHERN REGION,20173,7/1/17,9/30/17,Open,Alameda,5,417,Non Profit Corp.,Kaiser Foundation Health,(510) 987-3380,1956 WEBSTER STREET,OAKLAND,94612,JANET LIANG,4289,4259,2076,2384,19438,639,3429,9586,72912,2511,10833,10530,224156,12103,80671,128718642,1263526193,68607389,179460055,49758549,1052815729,34867298,277023903,2198298677,0
106364502,LOMA LINDA UNIVERSITY CHILDREN'S HOSPITAL,20193,7/1/19,9/30/19,Open,San Bernardino,12 - Inland Counties,1209,Non Profit Corp.,Comparable,909-558-4000,11234 ANDERSON ST.,LOMA LINDA,92354,KERRY HEINRICH,343,343,246,7,0,623,2607,37,0,11967,4589,130,4,7945,4187,1245844,0,252682887,110593622,305568,6079,39574080,6298977,110055470,0
106400524,SIERRA VISTA REGIONAL MEDICAL CENTER,20183,7/1/18,9/30/18,Open,San Luis Obispo,08 - Mid-Coast,801,Investor - Corp.,Comparable,805-546-7600,1010 MURRAY STREET,SAN LUIS OBISPO,93405,MARK LISA,164,164,73,344,111,101,247,1645,522,481,1112,2388,391,236,2500,45124641,13314034,10954928,22596580,21545633,5102176,1489441,14793225,37939219,0
