facility_id,position,productive_hours,productive_hours_per_patient
106150737,Ambulatory Cost Centers,34434,0.66
106370730,Clerical & Other Administrative,0,0.0
106400466,Aides & Orderlies,37320,1.71
106370977,Ancillary Cost Centers,324915,2.99
106190400,Technician & Specialist,1249807,7.59
106301317,Ambulatory Cost Centers,421817,3.96
106190163,Aides & Orderlies,79609,2.16
106301248,Administrative Services Cost Centers,149777,2.18
106364231,Ambulatory Cost Centers,770262,4.01
106340947,Daily Cost Centers,1042643,9.11
106171049,Management & Supervision,55668,3.34
106361343,Registered Nurse,884298,8.67
106380868,Contracted Other,1224,0.1
106190812,Aides & Orderlies,152601,1.69
106450949,Aides & Orderlies,78408,0.93
106010846,Ancillary Cost Centers,604942,3.54
106190522,Registered Nurse,578697,8.64
106190958,Clerical & Other Administrative,0,0.0
106190307,Fiscal Services Cost Centers,84302,2.41
106191306,Registered Nurse,386289,4.84
106361274,Education Cost Centers,0,0.0
106190017,Registered Nurse,240981,5.75
106392232,Ambulatory Cost Centers,11477,0.97
106331216,Licensed Vocational Nurse,10380,0.25
106331326,Ambulatory Cost Centers,56201,2.03
106540816,Environmental & Food Services,0,0.0
106190517,Environmental & Food Services,60715,0.78
106301304,Clerical & Other Administrative,15438,1.38
106560492,Licensed Vocational Nurse,2214,0.02
106331152,Licensed Vocational Nurse,102765,1.22
106191228,Management & Supervision,1328384,4.15
106430883,Daily Cost Centers,2123997,10.08
106390923,Ambulatory Cost Centers,345068,6.7
106105029,Daily Cost Centers,152346,10.82
106191228,Aides & Orderlies,980031,3.03
106370755,Fiscal Services Cost Centers,102698,0.66
106190200,General Services Cost Centers,122492,1.98
106560501,Environmental & Food Services,46669,1.04
106391010,Other,200897,3.45
106301566,Fiscal Services Cost Centers,230626,4.98
106214034,Clerical & Other Administrative,66348,6.07
106340950,Technician & Specialist,757003,5.9
106334018,Licensed Vocational Nurse,19800,0.81
106190298,Licensed Vocational Nurse,12257,0.38
106374055,Ancillary Cost Centers,7684,0.08
106190766,Other,5005,0.25
106010782,Administrative Services Cost Centers,12765,0.97
106491001,Aides & Orderlies,79211,4.36
106400548,Daily Cost Centers,269261,7.85
106340950,Registered Nurse,1303612,10.17
106361343,Contracted Registry Nursing,69507,0.73
106190859,Environmental & Food Services,85879,1.49
106540816,Fiscal Services Cost Centers,18197,0.51
106560529,General Services Cost Centers,347162,4.68
106191227,Ambulatory Cost Centers,1271134,7.37
106190137,Administrative Services Cost Centers,64120,2.1
106190159,Management & Supervision,61984,3.01
106304113,Environmental & Food Services,0,0.0
106434051,Management & Supervision,4211,0.49
106531059,Clerical & Other Administrative,27945,1.04
106370695,Clerical & Other Administrative,213369,3.37
106194981,Environmental & Food Services,0,0.0
106121002,Licensed Vocational Nurse,12617,0.44
106291053,Ancillary Cost Centers,226609,4.83
106100005,Contracted Registry Nursing,8711,0.14
106370755,General Services Cost Centers,594091,3.59
106420493,Clerical & Other Administrative,437096,3.97
106190681,Daily Cost Centers,35831,38.95
106150788,Technician & Specialist,523788,5.95
106190317,Licensed Vocational Nurse,22241,0.85
106160787,Fiscal Services Cost Centers,54844,3.51
106190766,Contracted Registry Nursing,15762,0.79
106250955,Registered Nurse,14312,1.09
106454012,Other,0,0.0
106374049,Contracted Other,0,0.0
106070904,Ambulatory Cost Centers,123860,2.94
106371394,Ancillary Cost Centers,555635,9.47
106010856,Management & Supervision,0,0.0
106380857,Administrative Services Cost Centers,698778,13.85
106392232,Administrative Services Cost Centers,13309,0.99
106301234,General Services Cost Centers,121191,5.22
106013687,Licensed Vocational Nurse,3391,0.51
106160787,Environmental & Food Services,94905,6.08
106044006,Management & Supervision,0,0.0
106301379,Licensed Vocational Nurse,78318,1.81
106390923,Other,14343,0.25
106231013,Contracted Registry Nursing,10523,0.61
106040875,Registered Nurse,327643,7.85
106390846,Registered Nurse,495871,7.35
106420493,Education Cost Centers,0,0.0
106364144,Management & Supervision,60549,1.66
106190240,Ambulatory Cost Centers,96983,1.79
106434138,Management & Supervision,53145,2.25
106320859,Aides & Orderlies,62472,1.15
106190184,General Services Cost Centers,38466,0.56
106260011,Contracted Other,3446,0.8
106190382,Technician & Specialist,156990,1.19
106404046,Registered Nurse,0,0.0
106301132,Licensed Vocational Nurse,15419,0.17
106010846,Ancillary Cost Centers,612747,3.56
106060870,Registered Nurse,45469,4.89
106160702,General Services Cost Centers,29468,2.95
106154101,Other,5050,0.23
106190170,Ambulatory Cost Centers,834334,6.02
106190198,Education Cost Centers,0,0.0
106341006,Ambulatory Cost Centers,2535549,10.75
106521041,Ambulatory Cost Centers,154149,7.44
106104089,General Services Cost Centers,0,0.0
106481357,Contracted Registry Nursing,31603,0.48
106410817,Ancillary Cost Centers,645129,4.25
106394009,Clerical & Other Administrative,0,0.0
106370780,Education Cost Centers,0,0.0
106370730,Education Cost Centers,9006,0.09
106300032,Aides & Orderlies,191307,2.21
106090933,General Services Cost Centers,321307,5.91
106301248,Daily Cost Centers,502204,7.32
106010887,Contracted Registry Nursing,755,0.04
106344029,Other,31130,0.9
106370759,Fiscal Services Cost Centers,104580,1.4
106190176,Environmental & Food Services,63682,0.57
106394003,Fiscal Services Cost Centers,0,0.0
106344035,Contracted Registry Nursing,0,0.0
106150775,Aides & Orderlies,110179,5.15
106244027,Aides & Orderlies,0,0.0
106070934,Aides & Orderlies,69987,1.5
106361105,Management & Supervision,74189,4.65
106420514,Technician & Specialist,937070,8.27
106484001,Contracted Registry Nursing,9280,0.41
106370780,Ancillary Cost Centers,888124,7.51
106410804,Other,730102,25.29
106190812,Management & Supervision,195103,2.13
106370705,Daily Cost Centers,190393,3.21
106361110,Ambulatory Cost Centers,73851,1.44
106391056,General Services Cost Centers,172482,5.0
106364144,Environmental & Food Services,27303,0.75
106034002,Contracted Other,12337,0.74
106571086,Ambulatory Cost Centers,119477,2.98
106190125,Ancillary Cost Centers,579336,5.71
106320986,Aides & Orderlies,11101,1.87
106150722,Administrative Services Cost Centers,259263,2.8
106514033,Registered Nurse,0,0.0
106190045,Administrative Services Cost Centers,12681,1.4
106013619,Administrative Services Cost Centers,44338,2.33
106364231,Technician & Specialist,1020146,6.03
106304159,Fiscal Services Cost Centers,8516,0.86
106331293,Ancillary Cost Centers,428909,8.39
106190521,Other,6179,0.09
106560508,Technician & Specialist,164039,3.77
106444012,Environmental & Food Services,43555,2.47
106014207,Contracted Other,1057,0.13
106010846,Management & Supervision,290165,1.64
106331293,Administrative Services Cost Centers,211360,4.14
106331168,Technician & Specialist,1118368,9.31
106190305,Ancillary Cost Centers,82128,3.02
106230949,Other,11977,1.27
106331168,General Services Cost Centers,664798,6.26
106500867,Education Cost Centers,0,0.0
106450936,General Services Cost Centers,94557,1.27
106331194,Contracted Other,668,0.01
106332172,Technician & Specialist,74790,6.16
106190315,Technician & Specialist,360174,4.99
106190878,Contracted Other,42948,0.34
106404046,Registered Nurse,0,0.0
106105051,General Services Cost Centers,0,0.0
106270744,Aides & Orderlies,231797,3.07
106321016,Management & Supervision,22798,0.85
106190468,Licensed Vocational Nurse,121447,2.87
106190812,Ambulatory Cost Centers,141093,1.54
106361166,Aides & Orderlies,23936,1.31
106301566,Ancillary Cost Centers,441091,9.52
106190470,Ancillary Cost Centers,930386,6.94
106364014,General Services Cost Centers,42407,1.09
106190315,Contracted Other,2540,0.04
106340950,Daily Cost Centers,1163932,8.57
106314029,Ancillary Cost Centers,0,0.0
106010967,Registered Nurse,507287,9.72
106190449,Daily Cost Centers,142535,2.39
106450949,Daily Cost Centers,665310,8.75
106104089,Licensed Vocational Nurse,0,0.0
106100797,Management & Supervision,44038,3.82
106331152,Administrative Services Cost Centers,157120,1.97
106390846,General Services Cost Centers,365199,5.74
106491001,Administrative Services Cost Centers,53030,2.83
106370875,Fiscal Services Cost Centers,73271,0.56
106190434,Technician & Specialist,0,0.0
106100697,General Services Cost Centers,88581,1.58
106331164,Administrative Services Cost Centers,211413,1.94
106304460,Aides & Orderlies,0,0.0
106370721,Clerical & Other Administrative,6140,0.33
106394009,Clerical & Other Administrative,0,0.0
106190754,Management & Supervision,375200,2.68
106400683,Registered Nurse,0,0.0
106370782,Environmental & Food Services,642348,2.31
106430905,Registered Nurse,2208399,9.14
106560508,Ambulatory Cost Centers,52808,1.22
106160702,Ancillary Cost Centers,67766,7.94
106190431,Contracted Other,0,0.0
106444013,General Services Cost Centers,139175,4.48
106540816,Fiscal Services Cost Centers,71898,1.84
106190708,Technician & Specialist,209442,7.84
106281266,Management & Supervision,0,0.0
106190754,Contracted Other,1627,0.01
106190784,Daily Cost Centers,172002,11.44
106184008,Contracted Registry Nursing,12911,1.05
106191227,Aides & Orderlies,541613,3.14
106150782,Education Cost Centers,0,0.0
106074017,Other,6516,0.21
106392287,Management & Supervision,99004,3.25
106190382,General Services Cost Centers,127311,1.04
106370749,Administrative Services Cost Centers,61910,1.49
106440755,Education Cost Centers,0,0.0
106430705,Licensed Vocational Nurse,2874,0.03
106190066,Education Cost Centers,0,0.0
106301098,Fiscal Services Cost Centers,133798,1.68
106204019,Technician & Specialist,1219577,11.4
106560525,Contracted Other,1590,0.04
106190854,Technician & Specialist,195560,4.28
106010739,Fiscal Services Cost Centers,56460,0.34
106560492,Other,0,0.0
106150706,Clerical & Other Administrative,261831,5.52
106190680,Ancillary Cost Centers,344351,3.54
106380960,Environmental & Food Services,125179,2.39
106190680,Education Cost Centers,0,0.0
106560481,Other,334543,3.38
106300032,General Services Cost Centers,645334,7.47
106364188,Environmental & Food Services,58308,2.61
106344114,Daily Cost Centers,0,0.0
106204019,Ancillary Cost Centers,962381,8.63
106190163,Ambulatory Cost Centers,16582,0.32
106370771,Ambulatory Cost Centers,133142,1.35
106190949,Technician & Specialist,384424,4.78
106190930,Ambulatory Cost Centers,79544,2.82
106380960,Education Cost Centers,887,0.02
106410891,Technician & Specialist,367669,10.82
106420483,Fiscal Services Cost Centers,16412,0.67
106104023,Ambulatory Cost Centers,99113,4.79
106274043,Fiscal Services Cost Centers,129400,2.73
106300032,Management & Supervision,459196,5.48
106190352,Other,1941,0.08
106380842,Ambulatory Cost Centers,3879,0.03
106350784,Registered Nurse,140091,1.52
106380865,Other,47871,0.16
106430837,Other,109831,1.21
106334048,Management & Supervision,0,0.0
106191014,Fiscal Services Cost Centers,0,0.0
106014226,Registered Nurse,9278,2.84
106190552,Fiscal Services Cost Centers,61550,0.17
106454013,Environmental & Food Services,14938,9.38
106190883,Fiscal Services Cost Centers,66431,1.27
106304159,Management & Supervision,23036,1.96
106010776,Licensed Vocational Nurse,35560,0.38
106391042,Clerical & Other Administrative,605453,5.52
106190524,Contracted Other,28335,0.51
106361308,Education Cost Centers,0,0.0
106190673,Daily Cost Centers,217543,10.57
106190696,Technician & Specialist,165427,2.65
106491064,Contracted Registry Nursing,80788,0.99
106190328,Ancillary Cost Centers,63632,5.43
106070990,Contracted Other,485,0.01
106010987,Licensed Vocational Nurse,32168,0.39
106341051,Aides & Orderlies,384323,1.78
106100745,Ambulatory Cost Centers,15028,1.28
106400524,Licensed Vocational Nurse,0,0.0
106190323,Administrative Services Cost Centers,312444,2.21
106560525,Aides & Orderlies,85475,2.24
106341051,Registered Nurse,1945752,9.07
106394003,Ancillary Cost Centers,0,0.0
106190196,Administrative Services Cost Centers,67899,3.0
106150782,General Services Cost Centers,140560,5.99
106420483,Contracted Registry Nursing,11603,0.46
106301132,General Services Cost Centers,906087,10.46
106344029,Technician & Specialist,202517,5.84
106341051,Education Cost Centers,42,0.0
106084001,Clerical & Other Administrative,180471,9.0
106150736,Licensed Vocational Nurse,91577,1.13
106361166,Technician & Specialist,213701,11.73
106196404,Daily Cost Centers,465962,5.19
106560203,Ambulatory Cost Centers,4777,0.19
106380857,Contracted Registry Nursing,25598,0.44
106400524,Other,8220,0.24
106291053,Daily Cost Centers,150294,3.2
106380868,Ambulatory Cost Centers,51999,4.85
106434051,Management & Supervision,4258,0.46
106210993,Contracted Other,6872,0.4
106164029,Fiscal Services Cost Centers,224331,2.14
106481015,Environmental & Food Services,31869,1.44
106560203,Education Cost Centers,0,0.0
106392287,Contracted Registry Nursing,25964,0.95
106301566,Ambulatory Cost Centers,177976,3.84
106040962,Fiscal Services Cost Centers,194642,1.87
106370714,Registered Nurse,1915742,10.2
106491064,Fiscal Services Cost Centers,60739,0.71
106394009,Environmental & Food Services,0,0.0
106361144,Fiscal Services Cost Centers,58306,2.36
106331326,Contracted Registry Nursing,12285,0.44
106240924,Daily Cost Centers,81581,4.9
106190758,Ambulatory Cost Centers,265024,2.08
106171049,Clerical & Other Administrative,185138,8.95
106344021,Contracted Other,0,0.0
106231396,Contracted Other,1364,0.04
106104047,Administrative Services Cost Centers,23381,2.6
106370771,Fiscal Services Cost Centers,134415,1.34
106100797,Ambulatory Cost Centers,99417,6.72
106560508,Other,23350,0.58
106380865,Administrative Services Cost Centers,157944,0.55
106190240,Management & Supervision,98909,1.83
106121002,Administrative Services Cost Centers,58734,2.05
106390923,Environmental & Food Services,163379,2.78
106514030,Contracted Other,3402,1.44
106190470,Licensed Vocational Nurse,35928,0.27
106391042,Environmental & Food Services,317528,2.67
106331288,Licensed Vocational Nurse,15720,1.79
106124004,Clerical & Other Administrative,0,0.0
106301317,Contracted Registry Nursing,49549,0.51
106191225,Daily Cost Centers,29022,1.58
106430905,Clerical & Other Administrative,1972875,8.64
106344029,Aides & Orderlies,22092,0.61
106250956,Ancillary Cost Centers,21502,0.5
106304079,Ambulatory Cost Centers,0,0.0
106190500,Technician & Specialist,216664,9.48
106430837,Environmental & Food Services,186978,2.21
106370749,Fiscal Services Cost Centers,29001,0.73
106190500,Contracted Registry Nursing,11914,0.51
106380929,Fiscal Services Cost Centers,493053,1.96
106304079,Ambulatory Cost Centers,0,0.0
106105029,Aides & Orderlies,39401,2.85
106480989,Daily Cost Centers,1501114,20.56
106374049,Ancillary Cost Centers,0,0.0
106130699,Licensed Vocational Nurse,37536,0.72
106300032,Clerical & Other Administrative,812883,9.41
106370745,Contracted Other,288,0.0
106190756,Registered Nurse,804371,10.68
106214034,Registered Nurse,86468,6.4
106100899,Fiscal Services Cost Centers,164849,1.09
106371256,Daily Cost Centers,661012,12.6
106010858,Clerical & Other Administrative,0,0.0
106190170,Fiscal Services Cost Centers,316759,2.57
106010987,Clerical & Other Administrative,405587,5.34
106010856,Technician & Specialist,0,0.0
106331216,Education Cost Centers,0,0.0
106380939,Education Cost Centers,0,0.0
106370755,General Services Cost Centers,595796,3.77
106190045,General Services Cost Centers,17708,1.96
106304113,Registered Nurse,91935,7.62
106141273,Registered Nurse,111018,14.02
106430883,Contracted Other,18195,0.09
106311000,Daily Cost Centers,1130930,9.07
106250956,Management & Supervision,36089,0.84
106301380,Licensed Vocational Nurse,65641,1.76
106344170,Fiscal Services Cost Centers,0,0.0
106190045,Daily Cost Centers,21471,2.45
106431506,Daily Cost Centers,733495,14.59
106410806,Contracted Other,379,0.02
106331152,Other,0,0.0
106010856,Management & Supervision,0,0.0
106190081,Contracted Other,26239,0.48
106380960,Contracted Other,24526,0.46
106370705,Ancillary Cost Centers,148389,2.65
106190462,General Services Cost Centers,70468,3.22
106190434,Administrative Services Cost Centers,412724,10.12
106190352,General Services Cost Centers,45397,1.87
106250956,Administrative Services Cost Centers,24067,0.53
106190053,Environmental & Food Services,163156,2.46
106420483,Administrative Services Cost Centers,20265,0.83
106190380,General Services Cost Centers,130381,3.14
106070924,Contracted Other,52890,0.67
106364050,Administrative Services Cost Centers,44536,1.55
106190385,Management & Supervision,251037,2.08
106370673,Daily Cost Centers,1474106,10.46
106410804,Contracted Other,3596,0.12
106392232,Fiscal Services Cost Centers,19240,1.62
106331312,Contracted Other,130437,0.9
106270875,Clerical & Other Administrative,407422,6.1
106331152,Administrative Services Cost Centers,169777,2.48
106190754,Environmental & Food Services,308337,2.02
106190673,Administrative Services Cost Centers,63338,3.3
106301297,Other,34,0.0
106190859,Contracted Other,14231,0.24
106190696,Administrative Services Cost Centers,58837,1.04
106410817,Education Cost Centers,0,0.0
106361458,Daily Cost Centers,19339,4.37
106332172,Other,0,0.0
106370652,Clerical & Other Administrative,158106,3.98
106100745,Environmental & Food Services,9865,0.84
106104062,Contracted Registry Nursing,1110,0.05
106444013,Aides & Orderlies,39183,1.24
106190382,Environmental & Food Services,0,0.0
106191014,Aides & Orderlies,0,0.0
106104023,Aides & Orderlies,28475,1.38
106361110,Ambulatory Cost Centers,73851,1.44
106104089,Aides & Orderlies,24801,4.45
106370694,Ambulatory Cost Centers,595120,2.76
106342392,Registered Nurse,93648,2.34
106571086,Contracted Other,25213,0.63
106150782,Ambulatory Cost Centers,82463,3.72
106110889,Management & Supervision,17271,2.71
106410817,Licensed Vocational Nurse,67468,0.53
106382715,Fiscal Services Cost Centers,22553,0.75
106304113,Fiscal Services Cost Centers,0,0.0
106400683,Other,0,0.0
106190754,Daily Cost Centers,1311105,8.61
106191014,Fiscal Services Cost Centers,0,0.0
106334564,Environmental & Food Services,45285,18.07
106370721,Fiscal Services Cost Centers,10511,0.6
106410891,Registered Nurse,368490,9.77
106301283,Licensed Vocational Nurse,31569,1.0
106070924,Fiscal Services Cost Centers,375141,4.07
106190517,Education Cost Centers,0,0.0
106390846,Education Cost Centers,0,0.0
106190462,Management & Supervision,41696,2.17
106370977,Administrative Services Cost Centers,88123,0.81
106190240,Administrative Services Cost Centers,122873,2.28
106560529,General Services Cost Centers,353711,4.8
106301234,Licensed Vocational Nurse,23037,1.07
106301357,Registered Nurse,97092,5.23
106540734,Contracted Registry Nursing,14246,0.08
106361308,Daily Cost Centers,638424,7.57
106034002,Ambulatory Cost Centers,121446,7.32
106190323,Licensed Vocational Nurse,112081,0.79
106364231,Education Cost Centers,361863,2.07
106190017,Aides & Orderlies,117038,2.79
106434040,Ambulatory Cost Centers,657803,6.08
106374094,Other,6903,0.31
106361339,Daily Cost Centers,899530,9.7
106331216,Ancillary Cost Centers,287732,7.0
106190541,Contracted Other,0,0.0
106371394,General Services Cost Centers,343666,5.69
106392232,Ambulatory Cost Centers,10653,0.93
106560481,Clerical & Other Administrative,909763,9.36
106100717,Clerical & Other Administrative,1108390,3.4
106434138,Technician & Specialist,167063,6.79
106240942,Management & Supervision,170367,2.38
106370721,Ambulatory Cost Centers,6851,0.36
106190784,Management & Supervision,50550,2.41
106332172,Environmental & Food Services,13841,1.15
106361246,Education Cost Centers,1395175,4.92
106301380,Ancillary Cost Centers,98050,2.63
106194981,Management & Supervision,4349,0.76
106124004,Aides & Orderlies,0,0.0
106564121,Administrative Services Cost Centers,13319,2.92
106371256,Environmental & Food Services,0,0.0
106301279,Administrative Services Cost Centers,577269,4.3
106481015,Contracted Registry Nursing,0,0.0
106121002,Environmental & Food Services,70719,2.97
106191014,Administrative Services Cost Centers,0,0.0
106370689,Registered Nurse,185021,3.02
106380960,Education Cost Centers,0,0.0
106044006,Registered Nurse,0,0.0
106190328,Registered Nurse,106049,6.77
106314029,Aides & Orderlies,18520,4.22
106190200,Management & Supervision,66488,1.05
106340951,Administrative Services Cost Centers,128043,0.95
106560501,Clerical & Other Administrative,31095,0.69
106420483,Licensed Vocational Nurse,29825,1.2
106190517,Other,52783,0.68
106361166,Other,12207,0.65
106150782,Contracted Registry Nursing,27816,1.26
106321016,Other,0,0.0
106361274,Fiscal Services Cost Centers,15742,0.55
106494019,Licensed Vocational Nurse,5093,0.16
106481094,Other,0,0.0
106342392,Contracted Other,12983,0.61
106320986,Registered Nurse,45391,7.66
106190323,Technician & Specialist,1010076,6.8
106100899,Ambulatory Cost Centers,304009,2.02
106190529,General Services Cost Centers,514067,5.19
106074097,Aides & Orderlies,78316,3.08
106084001,Contracted Registry Nursing,22949,1.14
106301279,Daily Cost Centers,1685831,12.54
106370673,Other,317587,2.18
106434153,Ambulatory Cost Centers,168564,1.98
106434218,Ancillary Cost Centers,0,0.0
106281047,Contracted Other,5833,0.08
106231396,Environmental & Food Services,100058,3.6
106190400,Environmental & Food Services,529161,3.22
106380865,General Services Cost Centers,633710,2.28
106560525,Ambulatory Cost Centers,149281,3.24
106361105,Aides & Orderlies,8347,0.52
106370782,General Services Cost Centers,1674070,7.3
106361266,Administrative Services Cost Centers,25695,0.83
106150736,Ancillary Cost Centers,568108,7.01
106190687,Ancillary Cost Centers,798393,7.9
106374084,Registered Nurse,45599,5.37
106190696,General Services Cost Centers,209413,3.36
106392232,Daily Cost Centers,96413,8.13
106331164,Daily Cost Centers,917818,8.01
106194967,Daily Cost Centers,47278,8.74
106390846,Ambulatory Cost Centers,141207,2.48
106490919,Education Cost Centers,65256,1.64
106301140,Daily Cost Centers,232595,8.52
106450940,Education Cost Centers,0,0.0
106560501,Registered Nurse,75945,1.61
106291023,Contracted Other,425479,11.3
106361458,Management & Supervision,14333,3.24
106010846,Ambulatory Cost Centers,801345,4.65
106154147,Contracted Other,3069,0.89
106121002,Other,35703,1.53
106450949,Aides & Orderlies,74591,0.93
106440755,Education Cost Centers,0,0.0
106491076,Ambulatory Cost Centers,59895,2.38
106150761,Fiscal Services Cost Centers,152878,1.84
106420522,Other,0,0.0
106420522,Aides & Orderlies,10605,2.71
106190431,Licensed Vocational Nurse,14178,0.33
106434153,Contracted Registry Nursing,34873,0.42
106361166,Ancillary Cost Centers,148091,7.86
106204019,Management & Supervision,413341,3.8
106491076,Administrative Services Cost Centers,50505,1.83
106040962,Daily Cost Centers,1124317,10.23
106434218,Management & Supervision,0,0.0
106301781,Education Cost Centers,0,0.0
106400480,Ancillary Cost Centers,249649,9.77
106320986,Technician & Specialist,84264,12.4
106190587,Management & Supervision,163145,2.85
106291023,Contracted Registry Nursing,8612,0.2
106301155,Education Cost Centers,0,0.0
106331226,Licensed Vocational Nurse,28565,3.73
106190587,Fiscal Services Cost Centers,100627,1.8
106190529,Clerical & Other Administrative,513067,4.67
106321016,Licensed Vocational Nurse,14439,0.56
106190883,Other,0,0.0
106184008,Daily Cost Centers,82405,6.73
106060870,Contracted Other,15638,1.68
106494048,Ancillary Cost Centers,0,0.0
106310791,Daily Cost Centers,176298,6.57
106450936,Daily Cost Centers,163860,2.59
106231396,Education Cost Centers,0,0.0
106214034,Environmental & Food Services,37580,2.78
106010937,Ancillary Cost Centers,679887,7.21
106361223,Fiscal Services Cost Centers,134830,1.25
106344035,Management & Supervision,41281,3.23
106400480,Technician & Specialist,183618,7.19
106291053,Other,15718,0.36
106050932,Licensed Vocational Nurse,12200,0.87
106564121,Clerical & Other Administrative,27445,6.83
106300032,Contracted Registry Nursing,28238,0.33
106334457,Contracted Other,5848,1.21
106191225,Technician & Specialist,698,0.05
106281078,Contracted Other,12724,0.41
106361323,Contracted Other,7157,0.07
106301209,Daily Cost Centers,205722,8.61
106270875,Other,76461,1.2
106121031,Environmental & Food Services,10454,0.45
106521041,Technician & Specialist,169082,7.58
106104089,Contracted Other,0,0.0
106344017,Contracted Registry Nursing,0,0.0
106070988,Aides & Orderlies,211695,1.8
106332172,Education Cost Centers,0,0.0
106190782,Daily Cost Centers,108088,6.82
106191014,Administrative Services Cost Centers,0,0.0
106301127,Registered Nurse,66660,3.39
106190854,Environmental & Food Services,95489,2.06
106491076,Fiscal Services Cost Centers,38570,1.53
106171049,Contracted Registry Nursing,22513,1.03
106420493,Daily Cost Centers,828137,7.51
106040937,Fiscal Services Cost Centers,144631,2.48
106044006,Licensed Vocational Nurse,0,0.0
106300225,General Services Cost Centers,374047,5.42
106494048,Daily Cost Centers,22506,23.49
106150737,Ambulatory Cost Centers,35524,0.75
106410817,Administrative Services Cost Centers,326357,2.38
106374024,Management & Supervision,33145,1.08
106370689,Contracted Other,2455,0.04
106560525,Contracted Registry Nursing,33933,0.74
106334018,Contracted Registry Nursing,35453,1.37
106190315,Daily Cost Centers,721330,9.99
106364121,Management & Supervision,176039,14.18
106010887,Daily Cost Centers,199812,10.19
106191014,Management & Supervision,0,0.0
106370782,Fiscal Services Cost Centers,433432,1.89
106191306,Management & Supervision,327793,4.25
106301262,Licensed Vocational Nurse,18107,0.13
106190382,Contracted Registry Nursing,36982,0.34
106104062,Contracted Other,0,0.0
106440755,Fiscal Services Cost Centers,133490,1.57
106430705,Ancillary Cost Centers,535599,6.97
106381154,Ambulatory Cost Centers,1836521,6.39
106361308,Management & Supervision,129646,1.51
106190708,Contracted Other,3872,0.16
106044006,Ancillary Cost Centers,0,0.0
106341006,Ambulatory Cost Centers,2694203,10.36
106070990,Daily Cost Centers,887410,13.6
106190470,Contracted Other,5720,0.04
106104023,Ancillary Cost Centers,46607,2.37
106414018,Daily Cost Centers,12874,10.44
106301248,Environmental & Food Services,13718,0.2
106014226,Aides & Orderlies,29042,8.14
106334018,Ancillary Cost Centers,113832,6.49
106491338,Ancillary Cost Centers,95864,9.69
106331226,Daily Cost Centers,77552,8.21
106100697,Licensed Vocational Nurse,29566,0.48
106190878,Clerical & Other Administrative,465339,3.64
106204019,Environmental & Food Services,180454,1.56
106392287,Management & Supervision,95628,3.42
106331326,Ancillary Cost Centers,170179,5.74
106301155,Fiscal Services Cost Centers,38093,0.87
106274043,Ancillary Cost Centers,306374,6.88
106190315,Technician & Specialist,413637,5.7
106040802,General Services Cost Centers,54388,2.18
106500939,Administrative Services Cost Centers,686957,4.7
106190630,Contracted Other,43811,0.31
106410852,Technician & Specialist,842114,6.05
106392287,Clerical & Other Administrative,136809,5.03
