facility_id,position,productive_hours,productive_hours_per_patient
106190696,General Services Cost Centers,209413,3.36
106301279,General Services Cost Centers,1483241,11.06
106191228,Registered Nurse,2844298,8.78
106371394,Contracted Registry Nursing,5220,0.09
106434153,Daily Cost Centers,2449920,27.26
106380865,Ambulatory Cost Centers,13220,0.04
106190385,Daily Cost Centers,1011535,9.51
106424002,Management & Supervision,0,0.0
106190432,Fiscal Services Cost Centers,0,0.0
106230949,Ambulatory Cost Centers,19760,2.07
106380939,Registered Nurse,1974975,9.17
106490919,Contracted Registry Nursing,1595,0.04
106301317,Contracted Other,11766,0.11
106410852,Contracted Registry Nursing,99303,0.87
106340951,Clerical & Other Administrative,328677,2.38
106190529,Fiscal Services Cost Centers,171171,1.64
106301317,Environmental & Food Services,278109,3.05
106190475,Ambulatory Cost Centers,71552,2.45
106190470,General Services Cost Centers,558160,4.2
106190066,Fiscal Services Cost Centers,32739,1.06
106190323,Environmental & Food Services,115202,0.8
106364231,Environmental & Food Services,458764,2.73
106434051,Other,0,0.0
106571086,Ancillary Cost Centers,283891,7.03
106404046,General Services Cost Centers,0,0.0
106190756,Ancillary Cost Centers,741946,10.29
106130760,Management & Supervision,121730,2.98
106414018,Fiscal Services Cost Centers,8257,5.61
106190958,Contracted Registry Nursing,0,0.0
106171049,Ambulatory Cost Centers,176483,8.11
106210993,Clerical & Other Administrative,0,0.0
106490964,Fiscal Services Cost Centers,61546,2.84
106240942,Management & Supervision,126470,1.73
106194981,Ambulatory Cost Centers,0,0.0
106301140,Contracted Other,1902,0.07
106500939,Contracted Other,21739,0.17
106361323,Environmental & Food Services,243862,2.54
106190431,Contracted Registry Nursing,35196,0.81
106231396,Management & Supervision,133185,4.8
106454013,Aides & Orderlies,4287,1.88
106190049,Licensed Vocational Nurse,67772,2.51
106444013,Technician & Specialist,176350,5.56
106196404,Administrative Services Cost Centers,33833,0.39
106481094,Contracted Registry Nursing,9941,0.3
106190197,Environmental & Food Services,0,0.0
106150722,General Services Cost Centers,458037,4.93
106300032,Licensed Vocational Nurse,25958,0.3
106331226,Management & Supervision,22885,2.17
106160787,Registered Nurse,173470,5.16
106301248,Registered Nurse,553542,8.1
106504038,Education Cost Centers,0,0.0
106494019,Aides & Orderlies,81009,2.84
106332172,Technician & Specialist,48945,4.07
106194967,Technician & Specialist,15281,2.83
106400466,General Services Cost Centers,90440,4.86
106190256,Ambulatory Cost Centers,50254,1.48
106154022,Clerical & Other Administrative,29900,1.52
106560529,Licensed Vocational Nurse,12779,0.17
106105051,Licensed Vocational Nurse,0,0.0
106121002,Ancillary Cost Centers,214819,7.49
106371256,Contracted Other,3764,0.07
106160787,General Services Cost Centers,156180,4.65
106304409,Contracted Other,518,0.01
106491338,Fiscal Services Cost Centers,38972,3.94
106190110,Contracted Registry Nursing,35417,0.5
106260011,Contracted Registry Nursing,1327,0.3
106190949,Aides & Orderlies,203972,2.63
106431506,Other,1183856,26.95
106010776,Technician & Specialist,1270155,13.43
106394009,Environmental & Food Services,0,0.0
106494019,Education Cost Centers,0,0.0
106311000,Registered Nurse,961097,7.15
106521041,Other,23317,1.08
106484028,Other,0,0.0
106260011,Environmental & Food Services,44771,10.01
106190176,Other,91242,0.88
106334589,Environmental & Food Services,62147,1.73
106431506,Environmental & Food Services,0,0.0
106301209,Technician & Specialist,144340,5.92
106124004,Environmental & Food Services,0,0.0
106105051,Technician & Specialist,0,0.0
106190547,Daily Cost Centers,127538,5.21
106504038,Daily Cost Centers,29378,3.67
106370694,Clerical & Other Administrative,923578,5.98
106330120,Daily Cost Centers,200718,5.36
106141338,Licensed Vocational Nurse,8946,0.33
106331293,Administrative Services Cost Centers,158082,3.35
106370744,Management & Supervision,412693,2.13
106013687,Daily Cost Centers,48979,7.33
106250955,Environmental & Food Services,16746,1.27
106154160,Fiscal Services Cost Centers,0,0.0
106434051,Registered Nurse,20373,2.22
106301258,Daily Cost Centers,395894,8.38
106430705,Administrative Services Cost Centers,203632,2.53
106334487,Fiscal Services Cost Centers,271718,1.69
106250956,Licensed Vocational Nurse,17379,0.38
106484028,General Services Cost Centers,856,0.33
106454012,Daily Cost Centers,249599,8.91
106370705,Education Cost Centers,0,0.0
106420483,Contracted Other,0,0.0
106196168,Technician & Specialist,956870,9.96
106380868,Technician & Specialist,39658,3.42
106531059,Education Cost Centers,0,0.0
106494019,Ambulatory Cost Centers,46530,1.56
106400683,Daily Cost Centers,0,0.0
106191228,Administrative Services Cost Centers,1534816,5.55
106444012,Daily Cost Centers,76283,4.33
106434138,Contracted Registry Nursing,1550,0.07
106390846,Management & Supervision,243159,3.6
106270777,Licensed Vocational Nurse,31416,0.51
106154160,Ancillary Cost Centers,0,0.0
106190052,Aides & Orderlies,82922,3.77
106434138,General Services Cost Centers,126084,5.15
106300032,Aides & Orderlies,191233,2.23
106500852,Education Cost Centers,0,0.0
106190431,General Services Cost Centers,613205,14.08
106364144,Other,19324,0.56
106514030,Other,0,0.0
106141338,Registered Nurse,11012,0.46
106380842,Licensed Vocational Nurse,49246,0.38
106301140,Contracted Other,1964,0.07
106190170,Technician & Specialist,2435019,17.56
106560838,Management & Supervision,5615,1.07
106364014,Registered Nurse,86747,2.36
106361339,Management & Supervision,151730,1.69
106190468,Education Cost Centers,0,0.0
106190680,Contracted Registry Nursing,69140,0.7
106034002,Environmental & Food Services,53428,3.22
106100697,Aides & Orderlies,119288,2.13
106430883,Fiscal Services Cost Centers,396949,1.79
106121051,Contracted Registry Nursing,4338,0.35
106361318,Contracted Other,47296,0.49
106330120,General Services Cost Centers,47796,1.32
106196405,Administrative Services Cost Centers,136129,2.57
106374055,Licensed Vocational Nurse,65261,0.69
106190930,Contracted Registry Nursing,3228,0.11
106334048,Daily Cost Centers,260289,21.62
106500867,Administrative Services Cost Centers,221925,1.45
106110889,Fiscal Services Cost Centers,24708,3.88
106340950,Ancillary Cost Centers,774187,6.77
106190522,Management & Supervision,158380,2.36
106361166,Clerical & Other Administrative,90640,4.52
106400480,Ambulatory Cost Centers,43781,1.69
106191227,Education Cost Centers,866853,5.35
106190380,Fiscal Services Cost Centers,15114,0.38
106190197,Environmental & Food Services,0,0.0
106370673,Aides & Orderlies,0,0.0
106281047,General Services Cost Centers,325237,4.89
106204019,Management & Supervision,377998,3.53
106074039,General Services Cost Centers,46610,1.76
106370755,Licensed Vocational Nurse,49484,0.31
106160787,Contracted Other,3380,0.22
106204019,Contracted Registry Nursing,24728,0.23
106514030,Contracted Registry Nursing,4792,1.67
106400548,Fiscal Services Cost Centers,57880,1.7
106370755,Administrative Services Cost Centers,229812,1.45
106571086,Daily Cost Centers,198458,4.91
106560508,Clerical & Other Administrative,83596,2.23
106150782,Daily Cost Centers,142903,6.75
106300225,Technician & Specialist,403705,5.82
106210993,Other,0,0.0
106040875,General Services Cost Centers,238820,5.32
106300032,Other,140875,1.68
106150775,Ambulatory Cost Centers,27272,1.18
106190708,Aides & Orderlies,60278,2.26
106190547,Aides & Orderlies,23868,0.97
106300225,Licensed Vocational Nurse,6151,0.09
106100745,Registered Nurse,832,0.12
106490964,Contracted Registry Nursing,10644,0.49
106560501,Aides & Orderlies,63025,1.45
106301098,Administrative Services Cost Centers,202469,2.71
106370730,Licensed Vocational Nurse,16907,0.17
106010776,Education Cost Centers,747470,9.79
106190521,Aides & Orderlies,113675,1.74
106190431,Contracted Registry Nursing,35196,0.81
106196035,Daily Cost Centers,639156,15.96
106211006,Daily Cost Centers,607428,9.05
106301279,Ambulatory Cost Centers,1054187,7.41
106301279,Licensed Vocational Nurse,16690,0.12
106010967,Environmental & Food Services,127511,2.44
106190198,Education Cost Centers,0,0.0
106481094,General Services Cost Centers,109887,3.28
106154101,Management & Supervision,42489,1.92
106334589,Contracted Other,0,0.0
106304079,Management & Supervision,26783,1.78
106304079,Administrative Services Cost Centers,42480,2.82
106190547,Administrative Services Cost Centers,57325,2.35
106190857,Technician & Specialist,36641,3.49
106190766,Management & Supervision,64024,3.21
106400480,Other,0,0.0
106370780,Environmental & Food Services,280983,2.66
106301262,Management & Supervision,432640,3.45
106121031,Contracted Registry Nursing,0,0.0
106334018,Education Cost Centers,0,0.0
106430905,Daily Cost Centers,2101596,8.7
106374094,Management & Supervision,38754,1.38
106190521,Management & Supervision,63491,1.01
106301248,Aides & Orderlies,111016,1.62
106560481,Education Cost Centers,91332,1.08
106554011,Ambulatory Cost Centers,516515,5.46
106301175,Administrative Services Cost Centers,191621,1.66
106190857,Ancillary Cost Centers,57523,4.37
106380964,Technician & Specialist,249736,5.07
106420483,Contracted Registry Nursing,6884,0.28
106190429,Contracted Registry Nursing,226407,1.72
106370714,Ambulatory Cost Centers,774142,4.67
106291023,Licensed Vocational Nurse,17046,0.39
106580996,Ambulatory Cost Centers,208950,2.87
106361246,Daily Cost Centers,5881607,20.75
106301340,Administrative Services Cost Centers,671198,4.54
106370694,Aides & Orderlies,200515,0.93
106400524,Ambulatory Cost Centers,79125,2.03
106371256,Ancillary Cost Centers,734168,14.0
106070988,Management & Supervision,316726,2.73
106540816,Education Cost Centers,0,0.0
106430883,Contracted Registry Nursing,6104,0.03
106420514,Contracted Other,0,0.0
106190525,Licensed Vocational Nurse,37044,0.26
106190110,Education Cost Centers,0,0.0
106190784,Technician & Specialist,58194,3.22
106190525,Education Cost Centers,63373,0.41
106400683,Contracted Other,0,0.0
106301234,Education Cost Centers,0,0.0
106380939,Other,852190,3.96
106514030,Ambulatory Cost Centers,0,0.0
106370771,General Services Cost Centers,738161,7.36
106190534,Ancillary Cost Centers,319319,6.79
106196403,General Services Cost Centers,218903,10.38
106361274,Contracted Other,113,0.0
106560473,Other,148887,1.91
106210993,Aides & Orderlies,0,0.0
106301566,Administrative Services Cost Centers,201669,3.73
106190958,Fiscal Services Cost Centers,0,0.0
106490964,General Services Cost Centers,60531,2.66
106250956,General Services Cost Centers,55419,1.22
106190521,Technician & Specialist,222993,3.54
106331226,Ambulatory Cost Centers,5383,0.7
106371394,Contracted Other,24291,0.43
106580996,General Services Cost Centers,364039,4.25
106190636,Management & Supervision,365126,2.48
106494048,Aides & Orderlies,6386,6.67
106190163,Ambulatory Cost Centers,26843,0.81
106190196,Administrative Services Cost Centers,99954,3.51
106110889,Environmental & Food Services,25758,3.81
106484028,Management & Supervision,3520,1.37
106394009,Contracted Other,2751,0.07
106010739,General Services Cost Centers,1223889,7.45
106331194,Environmental & Food Services,1540,0.02
106010858,General Services Cost Centers,1022449,22.56
106190198,Aides & Orderlies,123150,2.13
106560473,General Services Cost Centers,447993,5.63
106190243,Education Cost Centers,6714,0.1
106013687,Aides & Orderlies,4983,0.7
106190930,Ambulatory Cost Centers,64630,2.29
106190323,Ambulatory Cost Centers,277640,1.96
106190796,Technician & Specialist,3827500,16.11
106040962,Ambulatory Cost Centers,603779,5.5
106400524,Ambulatory Cost Centers,83728,2.41
106480989,Other,1274472,25.41
106150761,Fiscal Services Cost Centers,146698,1.74
106380964,Ancillary Cost Centers,247045,4.35
106332172,Daily Cost Centers,176462,14.54
106010858,Aides & Orderlies,123009,2.24
106301258,Licensed Vocational Nurse,69863,1.57
106124004,Other,0,0.0
106342392,Other,18602,0.47
106240942,General Services Cost Centers,329308,4.5
106454013,Other,0,0.0
106301155,Aides & Orderlies,106817,2.63
106070904,Licensed Vocational Nurse,18250,0.39
106370705,Registered Nurse,131256,2.23
106100005,Ancillary Cost Centers,526689,8.92
106190431,Ancillary Cost Centers,376185,7.24
106190176,Licensed Vocational Nurse,34050,0.33
106331164,Aides & Orderlies,244300,2.13
106380865,Education Cost Centers,0,0.0
106190524,Environmental & Food Services,74483,1.63
106014226,Contracted Registry Nursing,0,0.0
106190552,General Services Cost Centers,350673,0.99
106190529,Environmental & Food Services,198610,1.98
106301317,Education Cost Centers,1514,0.02
106301175,Fiscal Services Cost Centers,135322,1.13
106190256,Clerical & Other Administrative,147737,4.31
106190280,Daily Cost Centers,233918,9.71
106391056,Technician & Specialist,190515,5.87
106500867,Administrative Services Cost Centers,194146,1.29
106154147,Education Cost Centers,0,0.0
106361768,Daily Cost Centers,0,0.0
106370730,Technician & Specialist,0,0.0
106196403,Clerical & Other Administrative,0,0.0
106190328,Administrative Services Cost Centers,36329,2.64
106340951,Ancillary Cost Centers,355824,2.65
106190547,Management & Supervision,44918,1.74
106301317,Contracted Registry Nursing,42369,0.4
106150808,Fiscal Services Cost Centers,41338,0.94
106304113,Fiscal Services Cost Centers,0,0.0
106454013,Registered Nurse,25281,11.06
106370652,Fiscal Services Cost Centers,67369,1.68
106190784,Clerical & Other Administrative,61164,3.39
106074039,Clerical & Other Administrative,45141,1.79
106450936,Contracted Other,0,0.0
106150788,Contracted Other,49449,0.47
106560203,Daily Cost Centers,161924,6.9
106414018,Clerical & Other Administrative,13452,10.91
106084001,Technician & Specialist,135618,6.36
106190197,Ancillary Cost Centers,64400,4.79
106474007,Aides & Orderlies,50806,3.93
106414018,Aides & Orderlies,0,0.0
106571086,Licensed Vocational Nurse,7013,0.17
106390923,Ancillary Cost Centers,365042,6.32
106190521,Daily Cost Centers,512907,8.21
106430779,Management & Supervision,178822,1.44
106521041,General Services Cost Centers,129099,5.99
106504038,Contracted Registry Nursing,747,0.17
106190197,Registered Nurse,141496,5.92
106014226,Contracted Other,4338,1.31
106370714,Clerical & Other Administrative,924563,5.44
106481015,Clerical & Other Administrative,0,0.0
106190547,Other,0,0.0
106014050,Education Cost Centers,6329,0.1
106104089,Environmental & Food Services,6359,1.14
106010776,Environmental & Food Services,244171,2.83
106434153,Education Cost Centers,162542,1.83
106190782,Environmental & Food Services,10165,0.65
106191231,General Services Cost Centers,496508,3.99
106370755,Ambulatory Cost Centers,415654,2.51
106220733,Licensed Vocational Nurse,10273,0.25
106370652,Administrative Services Cost Centers,128686,3.06
106300032,General Services Cost Centers,564347,6.58
106342392,Fiscal Services Cost Centers,44032,1.2
106014207,Aides & Orderlies,23574,2.92
106196035,Other,1448537,29.2
106444013,Administrative Services Cost Centers,92192,2.97
106304159,Education Cost Centers,0,0.0
106270744,Contracted Other,14539,0.19
106474007,Contracted Other,0,0.0
106190631,General Services Cost Centers,731754,5.48
106301279,Clerical & Other Administrative,1590020,10.76
106190243,General Services Cost Centers,376640,5.89
106190636,Ambulatory Cost Centers,216472,1.41
106150782,Registered Nurse,138270,6.24
106382715,Registered Nurse,118026,4.2
106334068,Aides & Orderlies,108274,1.3
106474007,Technician & Specialist,148380,11.61
106560508,Other,23181,0.53
