facility_id,position,productive_hours,productive_hours_per_patient
106370780,General Services Cost Centers,527828,4.76
106270777,Environmental & Food Services,87804,1.3
106010782,Administrative Services Cost Centers,4228,0.43
106190475,Contracted Other,6697,0.22
106560529,Technician & Specialist,540188,7.29
106191227,Education Cost Centers,864789,5.69
106190066,General Services Cost Centers,150381,4.88
106410804,General Services Cost Centers,182078,6.29
106190796,General Services Cost Centers,2095290,9.43
106154160,Ancillary Cost Centers,0,0.0
106190280,Ambulatory Cost Centers,36143,1.52
106470871,Technician & Specialist,118897,3.8
106364121,Education Cost Centers,0,0.0
106350784,Clerical & Other Administrative,165109,1.75
106380964,Registered Nurse,319225,6.17
106370782,Ancillary Cost Centers,2432467,10.45
106281047,Clerical & Other Administrative,377925,5.69
106190429,Fiscal Services Cost Centers,94863,0.73
106190315,Clerical & Other Administrative,452399,6.11
106190125,General Services Cost Centers,448767,4.61
106341006,Contracted Other,0,0.0
106150808,Environmental & Food Services,66280,1.32
106300032,Registered Nurse,718360,8.37
106100899,Aides & Orderlies,403891,2.68
106331312,Environmental & Food Services,249069,1.77
106331226,Environmental & Food Services,30465,4.02
106310791,Contracted Other,1331,0.05
106470871,Aides & Orderlies,15556,1.78
106190307,Contracted Registry Nursing,13721,0.4
106190148,General Services Cost Centers,209205,2.47
106430837,Contracted Other,39674,0.48
106334025,Ambulatory Cost Centers,86654,1.56
106340950,Management & Supervision,166404,1.3
106394003,Administrative Services Cost Centers,0,0.0
106374049,Management & Supervision,1782,0.26
106481094,Clerical & Other Administrative,65219,1.95
106481015,Licensed Vocational Nurse,24758,1.06
106105051,Management & Supervision,0,0.0
106560501,Administrative Services Cost Centers,33857,0.75
106190081,Ambulatory Cost Centers,86152,1.59
106382715,Licensed Vocational Nurse,27819,0.99
106370694,Clerical & Other Administrative,1092508,4.82
106190323,Licensed Vocational Nurse,127816,0.88
106084001,Clerical & Other Administrative,165419,7.76
106301248,Administrative Services Cost Centers,149777,2.18
106381154,Licensed Vocational Nurse,72509,0.26
106154101,Registered Nurse,228641,9.72
106424002,Education Cost Centers,0,0.0
106240942,General Services Cost Centers,329308,4.5
106331152,Ambulatory Cost Centers,182639,2.66
106190110,Contracted Registry Nursing,29627,0.37
106330120,Technician & Specialist,245705,6.56
106340951,Contracted Other,99282,0.74
106190422,Clerical & Other Administrative,931030,5.88
106370721,Management & Supervision,48204,2.76
106291023,Management & Supervision,100895,2.35
106274043,Ambulatory Cost Centers,153772,3.45
106374094,Daily Cost Centers,156445,6.96
106554011,Education Cost Centers,0,0.0
106190534,Clerical & Other Administrative,101653,2.14
106374055,Contracted Other,5965,0.07
106331226,Ancillary Cost Centers,12477,1.18
106571086,Environmental & Food Services,72441,1.79
106190170,Ancillary Cost Centers,1251511,10.22
106394003,Environmental & Food Services,0,0.0
106190930,Management & Supervision,52755,1.88
106190020,Environmental & Food Services,23563,0.7
106314024,Administrative Services Cost Centers,520828,7.91
106344114,Clerical & Other Administrative,0,0.0
106010887,Education Cost Centers,0,0.0
106010739,Education Cost Centers,1999,0.01
106551061,Ambulatory Cost Centers,0,0.0
106191228,Fiscal Services Cost Centers,793967,2.64
106301234,Contracted Other,0,0.0
106040802,Environmental & Food Services,25116,1.14
106204019,Management & Supervision,413341,3.8
106301357,General Services Cost Centers,64684,4.27
106361323,Other,79637,0.85
106370977,Education Cost Centers,0,0.0
106190766,Education Cost Centers,859,0.05
106196405,Clerical & Other Administrative,58456,1.01
106190756,Clerical & Other Administrative,952379,13.21
106361339,Other,112536,1.26
106340913,Licensed Vocational Nurse,52979,0.39
106301566,Administrative Services Cost Centers,211994,4.43
106560838,Fiscal Services Cost Centers,4514,0.63
106410804,Technician & Specialist,60681,2.1
106481015,Licensed Vocational Nurse,23484,1.01
106361370,Fiscal Services Cost Centers,79455,2.61
106154022,Administrative Services Cost Centers,43021,2.1
106190307,Registered Nurse,202524,5.79
106320986,Education Cost Centers,0,0.0
106281266,Licensed Vocational Nurse,0,0.0
106100717,Fiscal Services Cost Centers,189460,0.61
106230949,Education Cost Centers,0,0.0
106291053,Aides & Orderlies,33102,0.84
106231013,Management & Supervision,91383,5.31
106361246,Ambulatory Cost Centers,1694613,5.91
106191231,Fiscal Services Cost Centers,459050,4.34
106551061,Contracted Other,1317,0.09
106190198,Daily Cost Centers,497389,8.63
106301317,Registered Nurse,1035090,10.14
106391010,Ambulatory Cost Centers,328407,5.64
106301262,Licensed Vocational Nurse,18107,0.13
106230949,Technician & Specialist,64296,6.71
106454012,Registered Nurse,117683,4.18
106420491,Contracted Other,5103,0.06
106190857,General Services Cost Centers,49035,4.67
106370689,Clerical & Other Administrative,108873,1.62
106034002,Environmental & Food Services,53428,3.22
106370749,Aides & Orderlies,117229,2.94
106434051,Other,0,0.0
106220733,Clerical & Other Administrative,95965,2.51
106121080,Contracted Registry Nursing,37983,0.69
106340950,Fiscal Services Cost Centers,107616,0.79
106150706,Other,5441,0.1
106560203,Daily Cost Centers,194970,7.79
106190859,Contracted Registry Nursing,63394,1.1
106013687,Daily Cost Centers,48631,7.33
106301342,Contracted Other,21462,0.15
106270875,Technician & Specialist,761517,10.3
106190017,Contracted Registry Nursing,21093,0.52
106171049,Licensed Vocational Nurse,16236,0.98
106190315,Ambulatory Cost Centers,84796,1.17
106130699,Contracted Other,158,0.0
106301283,Ancillary Cost Centers,238934,7.22
106541123,Ancillary Cost Centers,0,0.0
106190400,General Services Cost Centers,1060876,6.98
106191225,Ambulatory Cost Centers,0,0.0
106190883,Management & Supervision,56972,1.16
106500867,Education Cost Centers,0,0.0
106344011,Ancillary Cost Centers,0,0.0
106564121,Education Cost Centers,0,0.0
106370721,Contracted Registry Nursing,240,0.01
106410852,Clerical & Other Administrative,545209,4.8
106301342,Daily Cost Centers,1219129,8.93
106490919,Environmental & Food Services,100094,2.51
106301098,Contracted Registry Nursing,8338,0.1
106190298,Registered Nurse,212781,6.96
106190307,Aides & Orderlies,82751,2.41
106554011,Licensed Vocational Nurse,51981,0.58
106190307,Licensed Vocational Nurse,35997,1.07
106190298,Administrative Services Cost Centers,47272,1.46
106370782,Administrative Services Cost Centers,721448,2.96
106434051,Environmental & Food Services,12628,1.38
106484044,Ambulatory Cost Centers,0,0.0
106196168,Environmental & Food Services,72702,0.7
106190552,Clerical & Other Administrative,269858,0.7
106361110,Daily Cost Centers,50736,1.44
106070990,Contracted Other,3137,0.05
106331326,Aides & Orderlies,48472,1.73
106420522,Clerical & Other Administrative,15022,3.25
106424002,Clerical & Other Administrative,0,0.0
106370787,Aides & Orderlies,44577,2.66
106331288,General Services Cost Centers,68438,5.69
106191306,Management & Supervision,328629,4.63
106334025,Aides & Orderlies,85850,1.87
106190052,Contracted Other,7789,0.31
106481015,Contracted Other,2727,0.12
106270777,General Services Cost Centers,120992,2.12
106013619,Administrative Services Cost Centers,44338,2.33
106191306,Other,192918,2.72
106361323,Clerical & Other Administrative,226347,2.15
106191450,Daily Cost Centers,874819,18.93
106330120,Environmental & Food Services,41930,1.02
106361343,Technician & Specialist,638742,6.19
106150775,Licensed Vocational Nurse,44084,1.9
106191216,Ambulatory Cost Centers,154259,4.34
106342344,Daily Cost Centers,990135,25.19
106190883,Ancillary Cost Centers,301306,5.85
106540816,Ambulatory Cost Centers,160012,4.15
106070904,Technician & Specialist,286839,6.13
106070924,Contracted Other,52890,0.67
106490919,Contracted Registry Nursing,3456,0.09
106514030,Clerical & Other Administrative,21557,7.86
106370771,Education Cost Centers,0,0.0
106574010,Environmental & Food Services,50863,2.77
106094002,Other,0,0.0
106370745,Ambulatory Cost Centers,0,0.0
106291023,Contracted Registry Nursing,7679,0.2
106410782,Administrative Services Cost Centers,145690,0.53
106454013,Licensed Vocational Nurse,4587,2.88
106160702,Management & Supervision,23323,2.73
106481357,Aides & Orderlies,79056,1.31
106554011,Ancillary Cost Centers,453357,4.46
106331288,Management & Supervision,36547,3.04
106374024,Other,0,0.0
106104089,Daily Cost Centers,0,0.0
106190110,Technician & Specialist,370632,4.69
106364050,Licensed Vocational Nurse,42480,1.24
106380865,Other,915753,3.29
106370745,Ancillary Cost Centers,183512,2.84
106190184,Ambulatory Cost Centers,210915,3.48
106391042,Environmental & Food Services,327466,2.99
106196403,Contracted Other,0,0.0
106191306,Environmental & Food Services,176989,2.5
106190818,Technician & Specialist,259956,4.98
106190170,Fiscal Services Cost Centers,316759,2.57
106190547,General Services Cost Centers,56225,2.3
106304460,Aides & Orderlies,0,0.0
106190429,Fiscal Services Cost Centers,85936,0.68
106380960,Aides & Orderlies,52794,1.08
106424002,Management & Supervision,0,0.0
106301127,Education Cost Centers,0,0.0
106190568,Contracted Other,91580,0.77
106104089,Contracted Registry Nursing,0,0.0
106105051,Registered Nurse,0,0.0
106430837,Fiscal Services Cost Centers,47496,0.53
106190430,Education Cost Centers,0,0.0
106331312,Ambulatory Cost Centers,212672,1.56
106374084,Licensed Vocational Nurse,3049,0.37
106190422,Environmental & Food Services,451322,2.85
106100797,Registered Nurse,75233,6.53
106344170,Clerical & Other Administrative,4292,1.3
106190878,Contracted Other,34592,0.26
106260011,Contracted Registry Nursing,1327,0.3
106190432,Fiscal Services Cost Centers,0,0.0
106190812,Education Cost Centers,0,0.0
106190196,Registered Nurse,85069,3.76
106190197,Management & Supervision,50468,2.11
106391042,Licensed Vocational Nurse,48500,0.47
106430883,Management & Supervision,730163,3.47
106314029,Other,0,0.0
106190784,Other,13440,0.56
106190392,Ancillary Cost Centers,707558,8.71
106484028,Fiscal Services Cost Centers,854,0.22
106190631,Fiscal Services Cost Centers,326715,2.45
106304079,General Services Cost Centers,42408,2.9
106190385,Registered Nurse,787707,7.4
106160702,Registered Nurse,20912,2.45
106400466,Ancillary Cost Centers,157909,8.49
106370673,Environmental & Food Services,300501,2.07
106331216,Aides & Orderlies,50929,1.26
106074017,Contracted Other,429,0.01
106121080,Technician & Specialist,495414,8.94
106190766,Ancillary Cost Centers,170963,7.42
106190525,Registered Nurse,1314127,8.34
106370744,Other,691185,3.82
106230949,Ancillary Cost Centers,126380,13.21
106494019,Other,1134342,43.46
106361308,General Services Cost Centers,359436,4.25
106281266,Technician & Specialist,0,0.0
106571086,Contracted Registry Nursing,4390,0.11
106160725,Management & Supervision,128105,1.65
106190522,Clerical & Other Administrative,278340,4.1
106500867,Contracted Registry Nursing,9547,0.07
106190470,Ambulatory Cost Centers,257657,1.98
106454013,Clerical & Other Administrative,12994,7.71
106491064,Management & Supervision,163443,2.02
106481015,Other,0,0.0
106420483,Other,6667,0.27
106474007,General Services Cost Centers,139966,10.95
106070988,Other,167314,1.44
106040937,Contracted Other,1784,0.03
106190148,Environmental & Food Services,0,0.0
106191306,Licensed Vocational Nurse,122554,1.73
106344011,Ambulatory Cost Centers,0,0.0
106260011,Registered Nurse,85603,17.4
106344170,Contracted Other,0,0.0
106194010,Contracted Other,2265,0.07
106190328,Registered Nurse,106049,6.77
106204019,Administrative Services Cost Centers,420659,3.77
106301566,Education Cost Centers,7260,0.15
106444013,Ancillary Cost Centers,236511,7.46
106191306,Aides & Orderlies,271201,3.4
106491076,Clerical & Other Administrative,119777,4.38
106424002,Contracted Other,0,0.0
106184008,Contracted Registry Nursing,4843,0.45
106370977,Licensed Vocational Nurse,45085,0.44
106010735,Environmental & Food Services,76250,1.66
106370652,Contracted Other,49,0.0
106190196,Management & Supervision,121972,4.37
106340913,Ambulatory Cost Centers,289044,2.14
106220733,Other,12678,0.3
106190385,Daily Cost Centers,1011535,9.51
106154147,Ambulatory Cost Centers,0,0.0
106361458,Other,0,0.0
106190240,Ancillary Cost Centers,340940,6.43
106361266,Contracted Registry Nursing,0,0.0
106190243,Education Cost Centers,61617,0.86
106190673,Fiscal Services Cost Centers,56996,2.63
106190524,Registered Nurse,257406,4.66
106370694,Other,350291,1.54
106434138,Aides & Orderlies,25550,1.09
106191306,Licensed Vocational Nurse,143544,1.8
106301781,Technician & Specialist,0,0.0
106560481,Contracted Registry Nursing,23393,0.23
106190631,Aides & Orderlies,316568,2.41
106190568,Education Cost Centers,78488,0.67
106341006,Administrative Services Cost Centers,1225607,5.14
106196405,Management & Supervision,168864,2.92
106314024,Registered Nurse,258340,4.04
106010987,Licensed Vocational Nurse,17848,0.24
106474007,Licensed Vocational Nurse,29244,2.3
106301781,Fiscal Services Cost Centers,0,0.0
106481357,Administrative Services Cost Centers,172669,4.07
106370689,Registered Nurse,197996,2.95
106191306,Daily Cost Centers,814619,11.49
106430763,Ambulatory Cost Centers,280315,2.12
106190159,Management & Supervision,61984,3.01
106531059,Environmental & Food Services,33927,1.48
106301379,Education Cost Centers,0,0.0
106154101,General Services Cost Centers,126136,5.71
106301283,Other,24500,0.75
106010739,Clerical & Other Administrative,566100,3.35
106331326,Environmental & Food Services,52930,2.03
106194967,Administrative Services Cost Centers,1976,0.41
106190930,Clerical & Other Administrative,48096,1.71
106390846,Technician & Specialist,280980,5.9
106380842,Administrative Services Cost Centers,82366,0.53
106500852,Management & Supervision,245290,1.82
106364231,Technician & Specialist,1132108,5.9
106410891,Ambulatory Cost Centers,43808,0.94
106341006,General Services Cost Centers,2315249,9.7
106130699,Clerical & Other Administrative,301663,5.11
106301188,Fiscal Services Cost Centers,79960,1.26
106301317,Ancillary Cost Centers,939233,8.81
106380865,Other,47871,0.16
106370744,Other,724833,3.72
106190352,Technician & Specialist,94567,3.7
106420491,Education Cost Centers,0,0.0
106121002,Contracted Other,0,0.0
106364014,Contracted Other,0,0.0
106390846,Other,99977,1.79
106362041,Other,0,0.0
106304079,Other,18370,1.22
106334068,Ambulatory Cost Centers,241131,2.59
106444012,Ambulatory Cost Centers,1891,0.17
106121080,Daily Cost Centers,572296,10.72
106420514,Environmental & Food Services,432929,3.97
106304460,Education Cost Centers,0,0.0
106361458,Contracted Other,0,0.0
106301297,Fiscal Services Cost Centers,14178,0.54
106400466,Clerical & Other Administrative,92599,4.18
106270777,General Services Cost Centers,128402,2.09
106331164,Licensed Vocational Nurse,68005,0.59
106190449,Contracted Other,560,0.01
106070990,Fiscal Services Cost Centers,33659,0.58
106434153,Management & Supervision,49225,0.6
106331312,Daily Cost Centers,1175341,8.65
106430763,Technician & Specialist,759965,5.65
106190197,Environmental & Food Services,64666,3.28
106391010,Registered Nurse,565000,10.13
106304460,Ancillary Cost Centers,149598,19.49
106231013,Education Cost Centers,0,0.0
106491267,Management & Supervision,0,0.0
106100005,Other,177211,2.86
106190382,Contracted Other,14739,0.13
106494019,Ambulatory Cost Centers,45327,1.41
106420514,Licensed Vocational Nurse,35960,0.32
106410782,Technician & Specialist,348351,1.25
106430705,Licensed Vocational Nurse,2951,0.04
106434051,Management & Supervision,4211,0.49
106420483,Contracted Other,0,0.0
106190529,Licensed Vocational Nurse,38929,0.39
106484001,General Services Cost Centers,108130,5.36
106390846,Management & Supervision,186080,3.91
106154022,Contracted Registry Nursing,0,0.0
106361274,Administrative Services Cost Centers,51433,1.8
106044006,General Services Cost Centers,0,0.0
106281047,Ancillary Cost Centers,590247,9.22
106380964,Administrative Services Cost Centers,62348,1.4
106010776,Contracted Other,130498,1.58
106370730,Daily Cost Centers,1517835,17.57
106370744,Fiscal Services Cost Centers,241822,1.24
106190184,Contracted Registry Nursing,169,0.0
106274043,Registered Nurse,452583,9.64
106190756,Aides & Orderlies,0,0.0
106380929,Fiscal Services Cost Centers,493053,1.96
106304113,Aides & Orderlies,0,0.0
106370771,Daily Cost Centers,1077446,10.96
106331168,Fiscal Services Cost Centers,310384,2.58
106380857,Contracted Other,3755,0.07
106190429,Ambulatory Cost Centers,212372,1.63
106050932,Ambulatory Cost Centers,104462,8.16
106391010,Administrative Services Cost Centers,157928,2.89
106382715,Management & Supervision,47991,1.64
106071018,Contracted Registry Nursing,17665,0.28
106344035,Ambulatory Cost Centers,0,0.0
106410782,Other,227734,0.84
106190352,Administrative Services Cost Centers,70784,2.8
106190636,Daily Cost Centers,1488781,9.45
106364121,Contracted Other,0,0.0
106301132,General Services Cost Centers,939288,10.61
106301188,Education Cost Centers,0,0.0
106184008,Registered Nurse,56891,4.62
106370714,Daily Cost Centers,1929278,10.27
106370875,Contracted Registry Nursing,6188,0.05
106410817,Contracted Registry Nursing,6079,0.04
106190197,Licensed Vocational Nurse,36691,1.81
106484001,Contracted Registry Nursing,8962,0.44
106210993,Licensed Vocational Nurse,0,0.0
106190110,Clerical & Other Administrative,188508,2.64
106010782,Registered Nurse,3165,0.3
106211006,Aides & Orderlies,133489,2.09
106480989,Other,1576545,24.73
106342344,Management & Supervision,2372,0.06
106370755,General Services Cost Centers,689940,4.36
106190196,Education Cost Centers,0,0.0
106374094,Management & Supervision,187267,7.24
106190534,Environmental & Food Services,123732,2.9
106196035,Daily Cost Centers,701536,14.14
106190243,Contracted Registry Nursing,0,0.0
106040875,Ancillary Cost Centers,408192,9.06
106301357,Licensed Vocational Nurse,45464,2.43
106190150,Registered Nurse,59176,1.27
106010887,Contracted Registry Nursing,923,0.06
106344011,Contracted Other,0,0.0
106190256,Clerical & Other Administrative,105356,3.09
106301566,Contracted Registry Nursing,26142,0.55
106491001,Management & Supervision,56019,2.79
106231013,Registered Nurse,110810,6.98
106190522,Ambulatory Cost Centers,136801,1.84
106150788,Education Cost Centers,0,0.0
106040937,Registered Nurse,406358,6.41
106400466,Aides & Orderlies,17634,1.65
106191306,Registered Nurse,351873,4.56
106040802,General Services Cost Centers,50350,2.28
106231013,General Services Cost Centers,87500,5.51
106100005,Licensed Vocational Nurse,18058,0.31
106364121,Clerical & Other Administrative,0,0.0
106361144,Environmental & Food Services,70150,2.81
106450936,Environmental & Food Services,69085,0.93
106362041,Licensed Vocational Nurse,82128,0.96
106190521,Daily Cost Centers,462797,6.95
106560508,Education Cost Centers,0,0.0
106574010,Contracted Other,6157,0.34
106300032,Licensed Vocational Nurse,18841,0.22
106141273,Contracted Other,0,0.0
106191227,General Services Cost Centers,896841,5.13
106430743,Registered Nurse,46387,9.3
106150722,Clerical & Other Administrative,337246,3.64
106190020,Environmental & Food Services,26562,0.77
106424002,Ambulatory Cost Centers,0,0.0
106150808,Education Cost Centers,0,0.0
106410804,Licensed Vocational Nurse,5711,0.17
106100899,Ambulatory Cost Centers,255086,1.61
106274043,Other,94188,2.12
106332172,Daily Cost Centers,134598,11.1
106370875,Environmental & Food Services,30124,0.22
106314029,Education Cost Centers,0,0.0
106260011,Aides & Orderlies,31841,7.41
106250956,Administrative Services Cost Centers,17945,0.4
106364144,Ancillary Cost Centers,217216,6.29
106342344,General Services Cost Centers,222746,5.38
106190323,Aides & Orderlies,297335,2.06
106334068,Aides & Orderlies,121209,1.3
106301283,Ambulatory Cost Centers,73817,2.23
106301279,Environmental & Food Services,513250,3.82
106301340,Clerical & Other Administrative,589587,3.86
106370705,Other,0,0.0
106190232,Technician & Specialist,105042,2.18
106104062,Contracted Registry Nursing,2169,0.07
106374049,Licensed Vocational Nurse,0,0.0
106130699,Education Cost Centers,0,0.0
106190782,Environmental & Food Services,5235,0.34
106361343,Daily Cost Centers,920722,9.2
106190949,Licensed Vocational Nurse,131740,1.63
106190317,General Services Cost Centers,101932,3.82
106150737,Other,1531,0.03
106392287,Fiscal Services Cost Centers,67619,2.0
106010887,Education Cost Centers,0,0.0
106300225,Aides & Orderlies,229194,3.46
106504038,Licensed Vocational Nurse,1760,0.22
106150788,Aides & Orderlies,319846,3.64
106190529,Education Cost Centers,0,0.0
106190256,Technician & Specialist,159185,4.64
106332172,Ambulatory Cost Centers,3619,0.3
106104089,Environmental & Food Services,0,0.0
106094002,Ancillary Cost Centers,0,0.0
106100745,Technician & Specialist,7435,0.64
106190661,Aides & Orderlies,161978,2.68
106190796,Contracted Other,256350,1.15
106194219,Contracted Registry Nursing,175500,1.76
106010805,Contracted Other,43765,0.55
106190524,Contracted Other,972,0.02
106370771,Other,468979,4.42
106370730,Management & Supervision,0,0.0
106374055,Contracted Other,38720,0.4
106341051,Technician & Specialist,1541834,7.19
106380929,Education Cost Centers,468182,1.86
106196168,Ambulatory Cost Centers,414091,4.05
106450940,Registered Nurse,394390,10.14
106190756,Education Cost Centers,0,0.0
106184008,Licensed Vocational Nurse,3451,0.32
106090933,Registered Nurse,426750,7.81
106191228,Fiscal Services Cost Centers,768251,2.37
106500967,Contracted Registry Nursing,36964,0.33
106574010,Fiscal Services Cost Centers,1928,0.1
106420483,Daily Cost Centers,173901,7.13
106540734,Ambulatory Cost Centers,781400,3.55
106204019,Environmental & Food Services,180454,1.56
106361339,Aides & Orderlies,150676,1.61
106331326,General Services Cost Centers,114538,4.28
106150775,Registered Nurse,107060,3.49
106190568,Registered Nurse,911999,8.32
106150808,Management & Supervision,23566,0.42
106400548,Ambulatory Cost Centers,86867,2.55
106481094,Aides & Orderlies,52228,1.58
106121051,Other,4542,0.34
106334487,Management & Supervision,339870,2.12
106190020,Technician & Specialist,121143,3.87
106100745,Ambulatory Cost Centers,7309,1.03
106370730,Aides & Orderlies,35809,0.33
106380868,General Services Cost Centers,22736,1.89
106304045,General Services Cost Centers,127780,4.06
106190380,Registered Nurse,152805,3.75
106410782,Daily Cost Centers,805986,2.97
106100697,Administrative Services Cost Centers,22061,0.39
106190196,General Services Cost Centers,79798,2.8
106331326,Contracted Other,6001,0.22
106150808,Ancillary Cost Centers,54211,1.23
106414018,Registered Nurse,30164,24.25
106370730,Registered Nurse,1630617,13.97
106190631,Technician & Specialist,1355272,8.61
106150782,Ancillary Cost Centers,262765,11.77
106304079,Ambulatory Cost Centers,12264,0.82
106540734,Administrative Services Cost Centers,644253,2.93
106514030,Management & Supervision,24166,8.4
106190434,Other,1381381,32.22
106070934,Contracted Other,23620,0.53
106400683,Management & Supervision,0,0.0
106190878,Aides & Orderlies,249145,1.9
106190431,Fiscal Services Cost Centers,69697,1.6
106196403,Contracted Other,0,0.0
106010937,Licensed Vocational Nurse,16214,0.18
106190328,Contracted Other,996,0.07
106380965,Clerical & Other Administrative,194878,3.61
106450940,Daily Cost Centers,405289,9.57
106220733,Technician & Specialist,52985,1.29
106014207,Environmental & Food Services,7908,1.02
106434218,Technician & Specialist,0,0.0
106364188,General Services Cost Centers,67211,3.72
106332172,Licensed Vocational Nurse,32822,2.73
106190053,Management & Supervision,133792,1.87
106190380,Other,17168,0.43
106190470,Contracted Other,3810,0.03
106190034,Licensed Vocational Nurse,5013,0.04
106331168,Contracted Other,37676,0.31
106040937,Management & Supervision,150541,2.19
106560529,Technician & Specialist,466030,5.79
106190470,Registered Nurse,886202,6.82
106301205,Clerical & Other Administrative,1172473,5.65
106454012,Other,0,0.0
106190529,Contracted Registry Nursing,17475,0.18
106560529,Fiscal Services Cost Centers,84531,1.06
106231396,Contracted Registry Nursing,8925,0.32
106434138,Daily Cost Centers,177238,7.21
106190762,Environmental & Food Services,26790,0.34
106580996,General Services Cost Centers,250731,3.08
106470871,Education Cost Centers,0,0.0
106361223,Technician & Specialist,0,0.0
106390923,General Services Cost Centers,382708,7.81
106540816,Clerical & Other Administrative,201422,5.24
106190328,Fiscal Services Cost Centers,30471,2.08
106190766,Management & Supervision,64024,3.21
106250955,Contracted Other,2901,0.23
106190696,Contracted Registry Nursing,9480,0.15
106394009,Clerical & Other Administrative,0,0.0
106300032,Ancillary Cost Centers,360517,4.08
106190468,Technician & Specialist,236868,5.59
106141273,Technician & Specialist,162549,23.03
106331194,Licensed Vocational Nurse,101145,1.23
106301188,Clerical & Other Administrative,198249,3.29
106334025,Fiscal Services Cost Centers,44102,0.95
106424002,General Services Cost Centers,0,0.0
106430779,Education Cost Centers,0,0.0
106301248,Clerical & Other Administrative,302956,4.41
106121002,Environmental & Food Services,70284,3.02
